 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
145.3203125,55.87163491,-0.4284485079999999,-0.641908987,59.23494983,35.48562971,-0.649044273,0.796461876,0.0
142.921875,49.60856299,-0.084797244,-0.228604333,2.824414716,16.88870531,7.816136101000001,74.54332666,0.0
106.2109375,43.06275442,0.299330239,0.7600556409999999,2.925585284,15.87946806,7.329342007,73.45047494,0.0
117.234375,57.69024023,0.176004545,-0.646466729,1.987458194,13.03554479,10.35139498,145.965463,0.0
97.203125,45.22571161,0.381121272,0.792295992,2.070234114,16.90738347,9.367738187,97.52577582,0.0
123.7109375,49.39717103,0.0283929479999999,-0.274334322,4.110367893,24.02032708,7.044723014,54.05241061,0.0
144.0859375,47.86439624,-0.275317844,0.30119704,4.091137123999999,25.8793035,6.762678215,,0.0
123.0,41.23446677,0.3141926889999999,0.632505516,2.097826087,19.60763865,10.12840668,106.5587117,0.0
119.6796875,47.90484279,0.069294469,-0.275621122,7.906354515,35.21381788,4.641162351,21.08816403,0.0
100.8359375,48.70314693,0.438520247,0.394045852,2.050167224,16.77464717,9.557190793,100.7444386,0.0
140.28125,54.36550743,-0.032910292,-0.349261376,2.076086957,,10.53398494,137.08495969999998,0.0
43.9453125,29.93177362,3.491773354,20.16036777,17.25585284,50.15385783,3.264342834,9.945489911,1.0
95.609375,50.1303355,,0.6028260129999999,1.563545151,14.71428476,11.02095155,137.413819,0.0
122.5,45.22962248,0.210674626,0.390012023,2.293478261,15.48534719,10.22247801,130.8967391,0.0
115.21875,37.40027103,0.2101329589999999,1.5401305159999998,2.580267559,15.47825355,8.25932074,88.63415807,0.0
101.6875,47.07669109,0.407855337,0.632202453,2.262541806,20.76423559,9.971577412,102.1214175,1.0
124.5234375,54.39266449,0.122015606,-0.0789637359999999,5.7090301,25.27776698,5.4011638060000005,32.34076131,0.0
110.484375,45.80836175,0.373527785,0.635847582,0.829431438,11.28052173,16.1071543,292.4680101,0.0
111.390625,45.31577305,0.384942801,0.022779077,1.150501672,10.40850042,16.0969141,331.1718602,0.0
134.984375,45.40580641,,0.404291476,2.592809365,14.32554779,8.66283335,105.1779862,0.0
118.21875,47.08120271,0.348441769,0.348062802,2.036789298,11.96784925,11.19070377,184.7984412,0.0
49.015625,43.05428702,3.1428019660000004,10.5891811,12.48996656,41.17180822,3.778334085,14.25652381,1.0
109.3046875,40.55909242,0.531711969,1.056604184,2.02006689,13.21792889,10.16238116,140.8446503,0.0
15.8828125,29.72941018,7.268593181,53.24115298,112.4180602,67.23453292,0.46751992,-0.491603919,1.0
118.9765625,50.4234359,0.404238247,-0.1775032369999999,4.036789298,19.65476236,6.912917697,58.03290355,0.0
126.59375,53.45813746,0.314901332,-0.193151411,2.751672241,22.31522507,8.840414682,80.28365685,0.0
120.78125,48.15290384,0.134801811,0.0132239489999999,1.920568562,12.71508775,10.38902014,152.6799819,0.0
106.96875,38.99337634,,1.7758476980000002,8.891304348,35.67389776,4.046214291,15.59446631,1.0
112.765625,45.08247379,0.46868055,0.477125215,49.94481605,66.74291989,0.648796964,-1.392046196,0.0
19.03125,33.35414552,5.455234827999999,30.53455456,66.80602007,59.00179265,1.180934251,1.31928722,1.0
115.8671875,48.97661609,0.3566072389999999,0.181594191,2.653846154,16.53325149,8.206982154,81.36662796,0.0
91.3046875,46.65340264,0.359883743,0.657983456,2.368729097,14.59630659,8.774024056,102.5815204,0.0
100.1328125,46.12523223,0.210581918,0.031207187,2.158026756,19.60400471,9.961568215,103.4176485,0.0
100.8984375,38.01065637,,1.244901911,4.423913043,27.38893773,6.488992584,42.22976982,0.0
128.6328125,43.82027768,0.173075914,0.175957503,1.994983278,15.98672029,9.534335567,104.7606871,0.0
109.1875,47.48679915,,-0.1403657519999999,1.498327759,14.40413462,12.37075538,169.7880231,0.0
99.6015625,35.95555847,0.377894085,2.091819403,2.653846154,18.17075024,8.249660544,76.37862035,0.0
140.5390625,53.64566943,-0.195882017,-0.4631231739999999,3.474080268,21.83351794,7.471034331,,0.0
127.4921875,58.32974639,-0.04460885,-0.8669850929999999,4.10451505,18.85594784,6.3460208,50.89862756,0.0
116.1640625,50.29503227,0.18005915,-0.01571414,2.840301003,16.4049532,7.897464999999999,79.57744661,0.0
80.234375,51.93136762,1.488528618,2.243387011,34.07943144,74.88920163,1.973815641,2.260696163,1.0
115.2109375,54.86498376,0.072280268,-0.4762554189999999,2.772575251,,8.324767445,88.21564589,0.0
