age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income,native-region
39,State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,Low,Low,Medium,<=50K,North_America
50,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,Low,<=50K,North_America
38,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,Low,Low,Medium,<=50K,North_America
53,Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,Low,Low,Medium,<=50K,North_America
28,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,Low,Low,Medium,<=50K,Central_America
37,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,Low,Low,Medium,<=50K,North_America
49,Private,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,Low,Low,Low,<=50K,Central_America
52,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,Low,Low,Medium,>50K,North_America
31,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,High,Low,High,>50K,North_America
42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,Medium,Low,Medium,>50K,North_America
37,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,Low,Low,High,>50K,North_America
30,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,Low,Low,Medium,>50K,Asia_Central
23,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,Low,Low,Low,<=50K,North_America
32,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,Low,Low,High,<=50K,North_America
34,Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,Low,Low,Medium,<=50K,Central_America
25,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,Low,Low,Low,<=50K,North_America
32,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,Low,Low,Medium,<=50K,North_America
38,Private,11th,7,Married-civ-spouse,Sales,Husband,White,Male,Low,Low,High,<=50K,North_America
43,Self-emp-not-inc,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,Low,Low,Medium,>50K,North_America
40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,Low,Low,High,>50K,North_America
54,Private,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,Low,Low,Low,<=50K,North_America
35,Federal-gov,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,Low,Low,Medium,<=50K,North_America
43,Private,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,Low,High,Medium,<=50K,North_America
